timestamp,room_id,availability,noise,light,temperature,door_activity,comfort_score,emoticon
2025-12-01T09:12:00,5,2,40,47,24.8,14,53,⛔
2025-12-01T09:13:00,1,1,85,85,17.8,5,41,🥶
2025-12-01T09:13:00,2,0,42,69,20.5,8,61,🚶
2025-12-01T09:13:00,3,0,38,79,21.1,0,79,🙂
2025-12-01T09:13:00,4,2,9,97,21.1,6,79,⛔
2025-12-01T09:13:00,5,1,44,74,19.2,14,45,❄️
2025-12-01T09:14:00,1,2,17,56,26.7,2,78,⛔
2025-12-01T09:14:00,2,1,14,76,21.1,6,77,🚶
2025-12-01T09:14:00,3,1,9,80,26.4,7,73,🚶
2025-12-01T09:14:00,4,1,17,73,22.5,5,82,🙂
2025-12-01T09:14:00,5,0,8,61,20.1,9,71,🚶
2025-12-01T09:15:00,1,0,48,96,28.3,13,41,🔥
2025-12-01T09:15:00,2,1,8,50,26.3,3,81,🙂
2025-12-01T09:15:00,3,1,5,98,18.5,8,70,❄️
2025-12-01T09:15:00,4,1,47,63,25.3,6,63,🚶
2025-12-01T09:15:00,5,2,78,64,18.5,7,42,⛔
2025-12-01T09:16:00,1,1,56,71,23.5,0,76,🙂
2025-12-01T09:16:00,2,0,45,76,28.3,5,57,🔥
2025-12-01T09:16:00,3,2,39,78,30.7,14,36,⛔
2025-12-01T09:16:00,4,1,38,43,26.9,5,64,😐
2025-12-01T09:16:00,5,1,66,65,20.8,13,43,🌀
2025-12-01T09:17:00,1,0,83,43,31.4,1,39,🥵
2025-12-01T09:17:00,2,2,68,75,24.3,15,41,⛔
2025-12-01T09:17:00,3,0,6,47,23.1,7,84,🚶
2025-12-01T09:17:00,4,0,44,55,28.2,13,43,🔥
2025-12-01T09:17:00,5,0,74,95,18.4,12,35,❄️
2025-12-01T09:18:00,1,1,72,50,22.6,3,64,😐
2025-12-01T09:18:00,2,1,50,55,21.3,8,60,🚶
2025-12-01T09:18:00,3,1,8,73,21.6,2,89,😎
2025-12-01T09:18:00,4,1,73,55,20.3,7,50,🚶
2025-12-01T09:18:00,5,0,50,76,30.1,9,42,🥵
2025-12-01T09:19:00,1,2,47,49,28.3,12,43,⛔
2025-12-01T09:19:00,2,0,38,92,24.6,3,74,🙂
2025-12-01T09:19:00,3,1,43,88,24.5,12,56,🌀
2025-12-01T09:19:00,4,0,15,72,24.5,10,71,🚶
2025-12-01T09:19:00,5,0,73,66,18.1,2,52,❄️
2025-12-01T09:20:00,1,1,74,81,22.4,5,59,😐
2025-12-01T09:20:00,2,1,58,55,18.8,13,40,❄️
2025-12-01T09:20:00,3,0,35,87,26.7,9,58,🚶
2025-12-01T09:20:00,4,1,37,61,21.8,2,78,🙂
2025-12-01T09:20:00,5,1,47,63,20.5,7,61,🚶
2025-12-01T09:21:00,1,1,47,60,20.7,9,58,🚶
2025-12-01T09:21:00,2,1,28,76,19.7,3,73,❄️
2025-12-01T09:21:00,3,0,45,77,24.8,15,49,🌀
2025-12-01T09:21:00,4,1,47,84,24.6,7,63,🚶
2025-12-01T09:21:00,5,0,13,63,22.5,10,75,🚶
2025-12-01T09:22:00,1,1,82,40,18.3,3,47,❄️
2025-12-01T09:22:00,2,0,43,97,28.5,0,66,🔥
2025-12-01T09:22:00,3,1,60,88,17.2,0,58,🥶
2025-12-01T09:22:00,4,0,18,80,19.3,7,69,❄️
2025-12-01T09:22:00,5,1,81,44,28.5,10,33,🔥
2025-12-01T09:23:00,1,0,62,57,30.4,6,42,🥵
2025-12-01T09:23:00,2,2,77,76,20.3,5,52,⛔
2025-12-01T09:23:00,3,2,30,87,28.9,10,52,⛔
2025-12-01T09:23:00,4,1,31,76,29.2,14,43,🔥
2025-12-01T09:23:00,5,1,63,93,17.0,7,44,🥶
2025-12-01T09:24:00,1,0,36,60,29.3,11,46,🔥
2025-12-01T09:24:00,2,0,13,90,24.0,6,81,🚶
2025-12-01T09:24:00,3,2,63,74,31.5,1,47,⛔
2025-12-01T09:24:00,4,1,31,98,30.8,4,56,🥵
2025-12-01T09:24:00,5,0,7,57,17.5,7,68,🥶
2025-12-01T09:25:00,1,0,13,54,30.6,5,63,🥵
2025-12-01T09:25:00,2,1,28,79,26.0,3,74,🙂
2025-12-01T09:25:00,3,1,14,42,25.4,14,62,🌀
2025-12-01T09:25:00,4,1,38,81,20.7,4,70,🙂
2025-12-01T09:25:00,5,0,25,88,17.6,10,55,🥶
2025-12-01T09:26:00,1,1,24,41,17.4,5,64,🥶
2025-12-01T09:26:00,2,1,52,57,19.5,9,52,❄️
2025-12-01T09:26:00,3,0,43,73,18.8,12,48,❄️
2025-12-01T09:26:00,4,1,25,92,30.2,4,61,🥵
2025-12-01T09:26:00,5,1,68,81,22.8,2,68,😐
2025-12-01T09:27:00,1,0,54,52,22.2,7,63,🚶
2025-12-01T09:27:00,2,1,27,90,17.1,8,57,🥶
2025-12-01T09:27:00,3,0,79,88,29.7,11,28,🔥
2025-12-01T09:27:00,4,2,27,60,18.7,5,67,⛔
2025-12-01T09:27:00,5,0,28,59,27.4,0,75,🙂
2025-12-01T09:28:00,1,1,32,87,26.8,12,54,🌀
2025-12-01T09:28:00,2,1,22,50,31.6,6,54,🥵
2025-12-01T09:28:00,3,0,12,94,29.4,15,49,🔥
2025-12-01T09:28:00,4,1,51,50,21.9,5,67,😐
2025-12-01T09:28:00,5,0,19,88,26.3,9,66,🚶
2025-12-01T09:29:00,1,0,82,82,25.6,2,55,😐
2025-12-01T09:29:00,2,1,28,53,21.3,14,58,🌀
2025-12-01T09:29:00,3,0,32,59,26.5,14,51,🌀
2025-12-01T09:29:00,4,1,75,71,31.2,11,25,🥵
2025-12-01T09:29:00,5,1,29,84,30.3,0,66,🥵
2025-12-01T09:30:00,1,1,25,99,20.9,15,56,🌀
2025-12-01T09:30:00,2,1,16,48,26.5,11,63,🌀
2025-12-01T09:30:00,3,1,70,60,26.6,0,61,😐
2025-12-01T09:30:00,4,1,39,41,21.7,6,69,🚶
2025-12-01T09:30:00,5,2,66,42,22.3,10,53,⛔
2025-12-01T09:31:00,1,0,17,85,18.8,6,69,❄️
2025-12-01T09:31:00,2,2,84,100,28.0,15,24,⛔
2025-12-01T09:31:00,3,1,50,73,30.3,11,38,🥵
2025-12-01T09:31:00,4,1,35,55,21.9,10,64,🚶
2025-12-01T09:31:00,5,2,10,99,26.7,6,74,⛔
2025-12-01T09:32:00,1,0,28,50,18.0,1,72,❄️
2025-12-01T09:32:00,2,1,13,72,26.8,6,72,🚶
2025-12-01T09:32:00,3,1,50,54,30.7,6,46,🥵
2025-12-01T09:32:00,4,2,22,100,21.4,0,86,⛔
2025-12-01T09:32:00,5,2,82,81,20.0,7,45,⛔
2025-12-01T09:33:00,1,0,53,60,24.1,11,55,🌀
2025-12-01T09:33:00,2,1,14,81,24.2,10,72,🚶
2025-12-01T09:33:00,3,1,43,68,30.9,12,37,🥵
2025-12-01T09:33:00,4,1,9,99,21.3,12,69,🌀
2025-12-01T09:33:00,5,1,52,81,23.3,1,76,🙂
2025-12-01T09:34:00,1,1,29,94,30.5,1,64,🥵
2025-12-01T09:34:00,2,1,41,87,21.6,13,56,🌀
2025-12-01T09:34:00,3,2,49,72,28.3,3,59,⛔
2025-12-01T09:34:00,4,0,77,66,18.8,0,56,❄️
2025-12-01T09:34:00,5,0,71,47,29.3,1,50,🔥
2025-12-01T09:35:00,1,2,58,83,25.0,11,51,⛔
2025-12-01T09:35:00,2,1,68,62,17.5,12,34,🥶
2025-12-01T09:35:00,3,1,64,86,25.2,3,62,😐
2025-12-01T09:35:00,4,1,25,51,20.6,3,77,🙂
2025-12-01T09:35:00,5,1,49,40,25.6,7,59,🚶
2025-12-01T09:36:00,1,2,66,56,19.4,13,39,⛔
2025-12-01T09:36:00,2,2,57,76,21.5,13,49,⛔
2025-12-01T09:36:00,3,1,11,87,22.7,14,69,🌀
2025-12-01T09:36:00,4,1,78,89,31.0,11,24,🥵
2025-12-01T09:36:00,5,1,73,89,28.8,3,47,🔥
2025-12-01T09:37:00,1,1,15,46,18.3,12,58,❄️
2025-12-01T09:37:00,2,1,29,64,23.8,10,68,🚶
2025-12-01T09:37:00,3,1,66,73,23.8,6,60,🚶
2025-12-01T09:37:00,4,1,39,44,19.7,3,69,❄️
2025-12-01T09:37:00,5,1,48,88,31.8,8,39,🥵
2025-12-01T09:38:00,1,2,18,80,18.6,12,57,⛔
2025-12-01T09:38:00,2,1,9,59,21.5,2,88,😎
2025-12-01T09:38:00,3,1,47,48,31.7,14,29,🥵
2025-12-01T09:38:00,4,2,45,60,24.6,7,64,⛔
2025-12-01T09:38:00,5,0,15,41,18.4,0,80,❄️
2025-12-01T09:39:00,1,1,82,63,18.1,11,32,❄️
2025-12-01T09:39:00,2,1,26,48,18.6,7,63,❄️
2025-12-01T09:39:00,3,1,67,54,21.7,0,69,😐
2025-12-01T09:39:00,4,1,10,46,27.3,5,74,🙂
2025-12-01T09:39:00,5,1,75,96,22.7,4,61,😐
2025-12-01T09:40:00,1,0,70,60,27.6,7,45,🚶
2025-12-01T09:40:00,2,2,10,46,30.0,9,58,⛔
2025-12-01T09:40:00,3,2,28,80,25.4,1,79,⛔
2025-12-01T09:40:00,4,2,80,75,21.5,1,61,⛔
2025-12-01T09:40:00,5,1,85,87,18.8,4,46,❄️
2025-12-01T09:41:00,1,2,34,79,25.4,2,75,⛔
2025-12-01T09:41:00,2,1,70,58,21.1,13,42,🌀
2025-12-01T09:41:00,3,1,17,63,20.6,9,69,🚶
2025-12-01T09:41:00,4,2,14,40,31.9,8,53,⛔
2025-12-01T09:41:00,5,1,75,89,18.6,3,51,❄️
2025-12-01T09:42:00,1,1,40,69,17.7,15,41,🥶
2025-12-01T09:42:00,2,0,71,72,17.7,10,37,🥶
2025-12-01T09:42:00,3,1,48,56,17.1,11,43,🥶
2025-12-01T09:42:00,4,0,51,87,20.4,5,62,😐
2025-12-01T09:42:00,5,0,25,79,28.0,1,73,🙂
2025-12-01T09:43:00,1,1,28,52,21.5,8,69,🚶
2025-12-01T09:43:00,2,2,76,97,21.4,8,50,⛔
2025-12-01T09:43:00,3,1,9,90,27.1,7,71,🚶
2025-12-01T09:43:00,4,1,39,84,28.9,13,43,🔥
2025-12-01T09:43:00,5,1,69,72,17.3,10,37,🥶
2025-12-01T09:44:00,1,1,48,49,28.7,14,38,🔥
2025-12-01T09:44:00,2,0,46,52,24.4,9,61,🚶
2025-12-01T09:44:00,3,1,13,99,22.4,0,93,😎
2025-12-01T09:44:00,4,2,82,84,31.2,14,17,⛔
2025-12-01T09:44:00,5,1,39,50,26.4,1,72,🙂
2025-12-01T09:45:00,1,1,39,99,24.1,4,73,🙂
2025-12-01T09:45:00,2,0,63,81,25.7,11,46,🌀
2025-12-01T09:45:00,3,1,47,55,26.1,1,70,🙂
2025-12-01T09:45:00,4,0,25,69,24.4,15,58,🌀
2025-12-01T09:45:00,5,0,33,64,29.0,3,63,🔥
2025-12-01T09:46:00,1,2,84,91,28.7,2,45,⛔
2025-12-01T09:46:00,2,2,17,87,27.8,15,51,⛔
2025-12-01T09:46:00,3,2,31,43,22.0,3,79,⛔
2025-12-01T09:46:00,4,2,78,51,26.5,5,49,⛔
2025-12-01T09:46:00,5,1,24,41,21.7,8,72,🚶
2025-12-01T09:47:00,1,0,69,43,26.3,15,35,🌀
2025-12-01T09:47:00,2,1,85,93,25.6,0,58,😐
2025-12-01T09:47:00,3,1,61,40,17.8,13,36,🥶
2025-12-01T09:47:00,4,0,78,78,23.8,8,51,🚶
2025-12-01T09:47:00,5,1,9,78,30.8,11,53,🥵
2025-12-01T09:48:00,1,2,51,70,31.5,7,41,⛔
2025-12-01T09:48:00,2,1,27,66,27.9,14,49,🌀
2025-12-01T09:48:00,3,1,32,48,21.3,11,62,🌀
2025-12-01T09:48:00,4,2,58,40,30.8,6,42,⛔
2025-12-01T09:48:00,5,1,76,43,19.4,9,42,❄️
2025-12-01T09:49:00,1,1,38,100,20.0,5,66,😐
2025-12-01T09:49:00,2,0,70,76,24.8,15,39,🌀
2025-12-01T09:49:00,3,1,84,88,27.8,12,30,🌀
2025-12-01T09:49:00,4,0,26,77,18.2,15,48,❄️
2025-12-01T09:49:00,5,1,11,81,24.9,9,73,🚶
2025-12-01T09:50:00,1,1,19,94,28.6,1,73,🔥
2025-12-01T09:50:00,2,1,75,100,23.4,5,59,😐
2025-12-01T09:50:00,3,0,16,72,18.6,2,76,❄️
2025-12-01T09:50:00,4,1,74,55,21.5,2,62,😐
2025-12-01T09:50:00,5,1,39,80,22.7,8,69,🚶
2025-12-01T09:51:00,1,0,37,48,30.9,13,38,🥵
2025-12-01T09:51:00,2,1,75,78,18.4,4,48,❄️
2025-12-01T09:51:00,3,1,52,54,27.4,10,48,🚶
2025-12-01T09:51:00,4,2,60,60,23.4,6,64,⛔
2025-12-01T09:51:00,5,1,36,100,27.0,14,48,🌀
2025-12-01T09:52:00,1,2,33,60,26.8,4,68,⛔
2025-12-01T09:52:00,2,1,15,65,27.9,4,72,🙂
2025-12-01T09:52:00,3,1,8,46,28.6,12,58,🔥
2025-12-01T09:52:00,4,1,73,71,31.3,1,44,🥵
2025-12-01T09:52:00,5,1,43,92,28.6,14,40,🔥
2025-12-01T09:53:00,1,1,78,87,20.6,15,34,🌀
2025-12-01T09:53:00,2,1,21,66,22.0,10,70,🚶
2025-12-01T09:53:00,3,2,59,90,20.1,1,65,⛔
2025-12-01T09:53:00,4,1,17,61,29.1,9,58,🔥
2025-12-01T09:53:00,5,0,57,53,20.9,3,65,😐
2025-12-01T09:54:00,1,0,45,81,19.6,11,52,❄️
2025-12-01T09:54:00,2,1,52,85,31.3,0,54,🥵
2025-12-01T09:54:00,3,0,43,81,17.1,1,63,🥶
2025-12-01T09:54:00,4,1,42,96,25.4,10,58,🚶
2025-12-01T09:54:00,5,0,21,52,25.2,9,68,🚶
2025-12-01T09:55:00,1,0,83,48,18.5,8,38,❄️
2025-12-01T09:55:00,2,2,48,46,22.1,1,76,⛔
2025-12-01T09:55:00,3,0,14,85,26.0,9,69,🚶
2025-12-01T09:55:00,4,0,19,80,28.9,12,53,🔥
2025-12-01T09:55:00,5,2,34,41,30.5,1,62,⛔
2025-12-01T09:56:00,1,1,30,99,18.3,14,48,❄️
2025-12-01T09:56:00,2,1,53,92,22.0,13,52,🌀
2025-12-01T09:56:00,3,1,11,78,20.6,13,65,🌀
2025-12-01T09:56:00,4,0,41,91,29.7,14,38,🔥
2025-12-01T09:56:00,5,1,32,49,26.7,11,56,🌀
2025-12-01T09:57:00,1,0,19,76,18.4,0,78,❄️
2025-12-01T09:57:00,2,0,40,61,21.2,11,58,🌀
2025-12-01T09:57:00,3,0,60,83,31.7,11,30,🥵
2025-12-01T09:57:00,4,2,27,40,26.6,12,56,⛔
2025-12-01T09:57:00,5,1,51,56,29.5,13,36,🔥
2025-12-01T09:58:00,1,0,74,50,26.7,4,52,😕
2025-12-01T09:58:00,2,1,62,72,30.5,8,38,🥵
2025-12-01T09:58:00,3,2,53,91,23.6,15,50,⛔
2025-12-01T09:58:00,4,0,84,86,29.6,4,39,🔥
2025-12-01T09:58:00,5,0,60,97,30.9,9,36,🥵
2025-12-01T09:59:00,1,2,29,53,18.4,13,51,⛔
2025-12-01T09:59:00,2,1,5,41,19.3,5,77,❄️
2025-12-01T09:59:00,3,1,5,92,19.1,13,62,❄️
2025-12-01T09:59:00,4,0,62,74,21.6,14,45,🌀
2025-12-01T09:59:00,5,1,22,67,19.5,13,57,❄️
2025-12-01T10:00:00,1,1,5,96,19.1,11,66,❄️
2025-12-01T10:00:00,2,0,43,60,18.7,5,60,❄️
2025-12-01T10:00:00,3,1,71,44,19.9,13,38,❄️
2025-12-01T10:00:00,4,2,52,54,26.3,10,51,⛔
2025-12-01T10:00:00,5,0,49,53,24.2,10,58,🚶
2025-12-01T10:01:00,1,0,60,51,29.1,15,30,🔥
2025-12-01T10:01:00,2,1,36,87,25.2,9,62,🚶
2025-12-01T10:01:00,3,0,12,95,31.2,0,70,🥵
2025-12-01T10:01:00,4,1,74,54,18.2,11,36,❄️
2025-12-01T10:01:00,5,1,80,97,30.6,0,45,🥵
2025-12-01T10:02:00,1,1,62,66,24.5,1,68,😐
2025-12-01T10:02:00,2,1,10,64,25.1,11,69,🌀
2025-12-01T10:02:00,3,1,66,43,23.2,13,49,🌀
2025-12-01T10:02:00,4,1,41,89,26.9,10,53,🚶
2025-12-01T10:02:00,5,1,82,41,20.4,3,53,😕
2025-12-01T10:03:00,1,2,45,64,22.5,3,75,⛔
2025-12-01T10:03:00,2,1,54,57,23.4,9,61,🚶
2025-12-01T10:03:00,3,0,32,100,29.2,2,65,🔥
2025-12-01T10:03:00,4,1,84,78,21.9,9,46,🚶
2025-12-01T10:03:00,5,1,70,42,19.1,5,51,❄️
2025-12-01T10:04:00,1,0,16,67,18.5,15,53,❄️
2025-12-01T10:04:00,2,1,78,81,23.4,11,47,🌀
2025-12-01T10:04:00,3,0,65,59,19.0,13,38,❄️
2025-12-01T10:04:00,4,1,51,98,18.6,4,59,❄️
2025-12-01T10:04:00,5,0,39,96,27.8,9,53,🚶
2025-12-01T10:05:00,1,0,45,64,27.3,15,42,🌀
2025-12-01T10:05:00,2,1,16,59,21.9,5,81,🙂
2025-12-01T10:05:00,3,2,38,100,18.2,13,46,⛔
2025-12-01T10:05:00,4,1,65,75,21.1,3,62,😐
2025-12-01T10:05:00,5,0,83,67,17.5,0,50,🥶
2025-12-01T10:06:00,1,1,42,40,21.8,6,68,🚶
2025-12-01T10:06:00,2,2,22,85,23.1,0,90,⛔
2025-12-01T10:06:00,3,2,80,45,20.1,12,37,⛔
2025-12-01T10:06:00,4,0,45,98,30.2,14,35,🥵
2025-12-01T10:06:00,5,1,24,54,29.8,3,64,🔥
2025-12-01T10:07:00,1,2,10,49,26.0,13,63,⛔
2025-12-01T10:07:00,2,0,53,80,29.5,12,37,🔥
2025-12-01T10:07:00,3,1,53,85,20.8,14,47,🌀
2025-12-01T10:07:00,4,2,22,74,25.8,2,79,⛔
2025-12-01T10:07:00,5,0,52,40,22.9,1,77,🙂
2025-12-01T10:08:00,1,1,78,68,17.4,11,32,🥶
2025-12-01T10:08:00,2,0,55,95,19.1,3,60,❄️
2025-12-01T10:08:00,3,1,63,49,22.2,8,57,🚶
2025-12-01T10:08:00,4,1,36,41,25.5,14,52,🌀
2025-12-01T10:08:00,5,0,66,87,17.7,4,50,🥶
2025-12-01T10:09:00,1,0,47,54,19.8,4,64,❄️
2025-12-01T10:09:00,2,1,7,87,24.5,9,76,🚶
2025-12-01T10:09:00,3,0,47,61,28.6,4,57,🔥
2025-12-01T10:09:00,4,1,36,99,19.8,15,49,❄️
2025-12-01T10:09:00,5,0,29,84,29.4,3,63,🔥
2025-12-01T10:10:00,1,0,34,75,17.2,1,67,🥶
2025-12-01T10:10:00,2,0,70,77,27.7,8,43,🚶
2025-12-01T10:10:00,3,1,57,85,28.0,10,44,🚶
2025-12-01T10:10:00,4,1,8,80,21.4,10,74,🚶
2025-12-01T10:10:00,5,1,31,68,28.9,8,55,🔥
2025-12-01T10:11:00,1,0,71,49,29.3,3,47,🔥
2025-12-01T10:11:00,2,0,12,60,27.4,12,60,🌀
2025-12-01T10:11:00,3,0,72,82,17.5,5,45,🥶
2025-12-01T10:11:00,4,0,43,54,28.5,6,55,🔥
2025-12-01T10:11:00,5,1,42,65,19.6,6,62,❄️
2025-12-01T10:12:00,1,1,73,73,18.5,9,41,❄️
2025-12-01T10:12:00,2,1,81,85,20.3,9,43,🚶
2025-12-01T10:12:00,3,1,29,40,22.8,15,60,🌀
2025-12-01T10:12:00,4,2,83,65,30.9,0,43,⛔
2025-12-01T10:12:00,5,1,77,85,26.9,0,57,😐
2025-12-01T10:13:00,1,1,39,44,17.7,0,68,🥶
2025-12-01T10:13:00,2,1,68,93,19.6,13,39,❄️
2025-12-01T10:13:00,3,1,78,64,28.5,2,48,🔥
2025-12-01T10:13:00,4,1,26,99,30.1,13,44,🥵
2025-12-01T10:13:00,5,2,19,76,18.7,8,65,⛔
2025-12-01T10:14:00,1,0,76,82,28.3,12,32,🔥
2025-12-01T10:14:00,2,2,66,51,29.3,3,49,⛔
2025-12-01T10:14:00,3,1,16,70,24.3,8,75,🚶
2025-12-01T10:14:00,4,1,55,74,21.9,7,62,🚶
2025-12-01T10:14:00,5,0,70,77,22.8,1,69,😐
2025-12-01T10:15:00,1,1,45,83,28.3,11,46,🔥
2025-12-01T10:15:00,2,2,65,92,17.2,8,42,⛔
2025-12-01T10:15:00,3,1,5,59,31.8,8,57,🥵
2025-12-01T10:15:00,4,1,49,45,31.1,11,36,🥵
2025-12-01T10:15:00,5,1,32,52,31.1,15,35,🥵
2025-12-01T10:16:00,1,0,22,93,28.1,4,68,🔥
2025-12-01T10:16:00,2,1,7,93,21.7,7,80,🚶
2025-12-01T10:16:00,3,1,51,63,19.9,8,55,❄️
2025-12-01T10:16:00,4,2,80,91,26.7,9,40,⛔
2025-12-01T10:16:00,5,1,25,75,17.4,14,47,🥶
2025-12-01T10:17:00,1,1,74,79,17.1,5,43,🥶
2025-12-01T10:17:00,2,0,58,97,31.8,10,32,🥵
2025-12-01T10:17:00,3,1,57,66,31.2,11,32,🥵
2025-12-01T10:17:00,4,1,20,76,17.9,11,56,🥶
2025-12-01T10:17:00,5,1,75,75,20.7,14,37,🌀
2025-12-01T10:18:00,1,0,42,53,20.8,0,76,🙂
2025-12-01T10:18:00,2,2,82,41,22.7,5,57,⛔
2025-12-01T10:18:00,3,1,80,65,30.8,2,40,🥵
2025-12-01T10:18:00,4,0,43,81,23.4,2,78,🙂
2025-12-01T10:18:00,5,1,11,69,22.4,8,79,🚶
2025-12-01T10:19:00,1,0,15,59,23.1,3,88,😎
2025-12-01T10:19:00,2,1,36,45,26.1,14,51,🌀
2025-12-01T10:19:00,3,1,83,98,17.5,7,37,🥶
2025-12-01T10:19:00,4,1,6,90,23.4,1,94,😎
2025-12-01T10:19:00,5,0,64,94,20.5,5,57,😐
2025-12-01T10:20:00,1,1,36,81,29.9,6,54,🔥
2025-12-01T10:20:00,2,1,42,59,24.6,11,58,🌀
2025-12-01T10:20:00,3,1,79,59,19.7,14,33,❄️
2025-12-01T10:20:00,4,0,10,81,27.9,10,63,🚶
2025-12-01T10:20:00,5,1,18,41,27.1,0,80,🙂
2025-12-01T10:21:00,1,1,74,60,20.6,15,36,🌀
2025-12-01T10:21:00,2,0,82,99,20.3,15,32,🌀
2025-12-01T10:21:00,3,0,19,71,29.1,3,68,🔥
2025-12-01T10:21:00,4,1,48,99,28.1,7,52,🔥
2025-12-01T10:21:00,5,1,23,56,18.5,13,53,❄️
2025-12-01T10:22:00,1,1,30,78,23.2,5,78,🙂
2025-12-01T10:22:00,2,0,24,70,19.4,0,79,❄️
2025-12-01T10:22:00,3,1,80,67,26.6,15,30,🌀
2025-12-01T10:22:00,4,2,26,47,24.3,15,58,⛔
2025-12-01T10:22:00,5,0,20,87,21.8,4,81,🙂
2025-12-01T10:23:00,1,0,21,97,17.8,8,61,🥶
2025-12-01T10:23:00,2,1,46,43,26.9,6,59,🚶
2025-12-01T10:23:00,3,2,45,94,29.2,12,41,⛔
2025-12-01T10:23:00,4,1,58,60,27.6,12,41,🌀
2025-12-01T10:23:00,5,0,78,89,27.0,7,44,🚶
2025-12-01T10:24:00,1,2,81,92,23.5,1,64,⛔
2025-12-01T10:24:00,2,1,44,44,21.2,10,59,🚶
2025-12-01T10:24:00,3,0,45,81,22.2,5,70,🙂
